positive,negative
Je suis impressionné par l'engagement de l'entreprise envers les pratiques commerciales éthiques.,Je suis déçu par le mépris de l'organisation pour les considérations éthiques.
Le nouveau dispositif de suivi de la condition physique m'a poussé à être plus actif.,Le moniteur de santé peu fiable m'a découragé d'exercer régulièrement.
Je suis optimiste quant au potentiel de la thérapie génique pour traiter des maladies incurables.,Je crains les risques associés aux traitements médicaux expérimentaux.
Les récents efforts diplomatiques ont considérablement amélioré les relations internationales.,Les derniers mouvements politiques ont exacerbé les tensions entre les nations.
Je me sens habilité après avoir assisté à l'atelier sur les finances personnelles.,Je me sens débordé après avoir assisté à la conférence complexe sur la gestion de l'argent.
Le nouveau programme de recyclage a permis à notre collectivité de réduire plus facilement les déchets.,Le système confus de gestion des déchets a rendu plus difficile le recyclage approprié.
Je suis excité par les fonctionnalités innovantes de la dernière version du smartphone.,Je suis frustré par la complexité inutile du nouvel appareil mobile.
La politique souple de l'entreprise en matière de travail a grandement amélioré mon équilibre entre le travail et la vie personnelle.,Le calendrier rigide de l'organisation a nui à ma vie personnelle.
Je suis impressionné par la façon dont la ville a amélioré ses espaces publics et ses parcs.,Je suis déçu par la négligence des aires de loisirs et des espaces verts de notre ville.
La nouvelle plateforme d'apprentissage en ligne a rendu l'éducation plus accessible et plus engageante.,Le système mal conçu d'apprentissage en ligne a rendu l'étude plus difficile et plus frustrante.
Je sens un sentiment d'accomplissement après avoir terminé le marathon pour lequel je me suis entraîné.,Je me sens découragé après avoir échoué à terminer la course pour laquelle je me suis préparé.
Les récents efforts de conservation de la faune ont donné des résultats prometteurs.,L'insuffisance des mesures de protection de l'environnement a entraîné la destruction de l'habitat.
Je suis reconnaissant pour le programme de mentorat qui a accéléré ma croissance professionnelle.,Je suis déçu par le manque d'orientation dans mon développement de carrière.
Le nouveau système de gestion du trafic a considérablement réduit la congestion dans la ville.,Les changements de routes mal planifiés ont aggravé les problèmes de circulation dans notre région.
Je suis impressionné par les initiatives d'inclusion et de diversité dans mon milieu de travail.,Je m'inquiète du manque de représentation et d'égalité dans notre organisation.
La rénovation du site historique a magnifiquement préservé notre patrimoine culturel.,Les développements modernes ont érodé le caractère de notre quartier historique.
Je me sens plus confiant dans mes compétences en matière de prise de décisions après le séminaire sur le leadership.,Je me sens plus douteuse de mes capacités après l'atelier de gestion déroutant.
La nouvelle politique des soins de santé a rendu les soins médicaux plus abordables et plus accessibles.,Les récents changements apportés à l'assurance maladie ont rendu les soins appropriés plus coûteux et plus difficiles à obtenir.
Je suis excité par le potentiel de la réalité virtuelle pour améliorer les expériences éducatives.,Je m'inquiète de l'impact d'un temps d'écran excessif sur le développement des enfants.
Le nouveau restaurant de la ferme à la table a transformé notre scène culinaire locale.,La cuisine surévaluée a déçu nos attentes pour la cuisine locale.
Je suis impressionné par le bon déroulement de la transition vers le travail à distance.,Je suis frustré par la mauvaise façon dont l'organisation a géré le passage au travail à la maison.
Le nouveau programme de partage de vélos de la ville a rendu le trajet plus agréable et plus écologique.,Le système de vélo mal mis en œuvre a causé plus de problèmes de circulation et de frustration.
Je me sens plus connectée à ma communauté après avoir fait du bénévolat au refuge local.,Je me sens plus isolé de mon quartier après l'échec du programme de sensibilisation communautaire.
Le programme novateur de réduction des déchets a considérablement réduit notre impact environnemental.,Le système de recyclage inefficace n'a pas fait grand-chose pour régler notre problème croissant des déchets.
Je suis excité par le potentiel de la médecine personnalisée pour améliorer les résultats du traitement.,Je m'inquiète des répercussions des tests génétiques sur la vie privée dans les soins de santé.
La nouvelle bibliothèque publique est devenue un centre dynamique d'apprentissage et d'engagement communautaire.,Le centre communautaire dépassé est tombé en désuétude et en délabrement.
Je me sens plus productif et concentré après avoir adopté la nouvelle technique de gestion du temps.,Je me sens plus stressé et débordé après avoir essayé le système de planification compliqué.
La politique de communication transparente de l'entreprise a renforcé la confiance et le moral des employés.,Le manque d'information claire de l'organisation a entraîné une incertitude et un mécontentement généralisés.
Je suis étonné par la façon dont le projet de restauration a respiré la vie dans l'ancien bâtiment.,Je suis déçu par la façon dont la rénovation a enlevé le caractère historique de la structure.
Le nouveau programme d'échange linguistique a grandement amélioré ma maîtrise et ma compréhension culturelle.,Le cours de langue mal structuré m'a laissé plus confus à propos de la culture étrangère.
Je me sens inspiré après avoir assisté au séminaire de motivation sur la croissance personnelle.,Je me sens sceptique après m'être assis à travers le discours superficiel sur l'auto-amélioration.
Les récentes mises à jour de l'application l'ont rendu beaucoup plus convivial et efficace.,Les dernières modifications apportées au logiciel l'ont rendu plus compliqué et frustrant à utiliser.
Je suis impressionné par les solutions innovantes présentées lors de la conférence technologique.,Je suis sous-estimé par le manque d'idées originales à la convention de l'industrie.
Le nouveau programme de bien-être au travail a considérablement amélioré la santé et la satisfaction des employés.,L'initiative de conditionnement physique obligatoire au bureau a créé du stress et du ressentiment chez le personnel.
Je me sens plus en sécurité financière après avoir suivi les conseils dans le livre de finances personnelles.,Je m'inquiète plus de l'argent après avoir lu les prédictions économiques alarmistes.
Le projet de jardin communautaire a transformé un terrain vide en un bel espace productif.,La rénovation négligée du parc a laissé notre quartier avec un danger pour les yeux et la sécurité.
Je suis excité par le potentiel des énergies renouvelables pour créer un avenir plus durable.,Je m'inquiète de l'impact économique de la transition vers les sources d'énergie traditionnelles.
Le nouvel outil collaboratif a grandement amélioré la productivité et la communication de notre équipe.,Le logiciel complexe de gestion de projet a entravé notre flux de travail et créé de la confusion.
Je me sens plus confiant dans mes compétences culinaires après avoir suivi le cours culinaire en ligne.,Je me sens découragé par mes capacités dans la cuisine après avoir essayé les recettes complexes.
Le festival culturel de la ville a favorisé une meilleure compréhension et une plus grande appréciation parmi les diverses communautés.,L'événement multiculturel mal organisé a aggravé les tensions et les malentendus.
Je suis impressionné par la façon dont l'entreprise a accordé la priorité au soutien en santé mentale à ses employés.,Je suis préoccupé par le manque d'initiatives d'équilibre entre le travail et la vie personnelle dans notre organisation.
La nouvelle installation d'art public a apporté vivacité et discussion à notre communauté.,La sculpture controversée a causé la division et les plaintes dans le quartier.
Je me sens plus autonome après avoir appris mes droits et mes protections des consommateurs.,Je me sens plus vulnérable après avoir découvert les lacunes des lois sur la protection des consommateurs.
La refonte du site Web a facilité la recherche d'informations et de services d'accès.,Le site remanié a rendu plus difficile la navigation et la localisation des ressources nécessaires.
Je suis excité par le potentiel de l'agriculture verticale pour traiter la sécurité alimentaire urbaine.,Je suis sceptique sur l'impact environnemental de l'agriculture intérieure à forte intensité énergétique.
La nouvelle application de méditation a considérablement amélioré ma gestion du stress et la qualité du sommeil.,Le programme de relaxation exagéré a fait peu pour soulager mon anxiété et mon insomnie.
Je me sens plus connecté à la nature après avoir participé au cours de survie dans la nature sauvage.,Je me sens plus aliénée de l'extérieur après le voyage de camping épuisant et inconfortable.
L'engagement de l'entreprise en faveur du commerce équitable a amélioré les conditions de travail des travailleurs des pays en développement.,Les pratiques d'externalisation de l'organisation ont entraîné des pertes d'emplois et des baisses de normes au niveau local.
Je suis impressionné par les solutions innovantes présentées dans le documentaire sur le changement climatique.,Je suis découragé par les sombres perspectives présentées dans le film environnemental.
Le nouvel espace de coworking a favorisé la créativité et les possibilités de réseautage.,Le bureau partagé surpeuplé a entraîné des distractions et un manque d'intimité.
Je me sens plus confiant dans mes compétences en matière d'expression publique après avoir pris l'atelier de communication.,Je me sens plus anxieux de me présenter après l'entraînement à la haute pression.
L'initiative de la ville de planter plus d'arbres a nettement amélioré la qualité de l'air et l'esthétique.,Le développement urbain mal planifié a entraîné la perte d'espaces verts et une pollution accrue.
Je suis excité par le potentiel de la technologie blockchain pour accroître la transparence dans diverses industries.,Je m'inquiète de l'impact environnemental de l'exploitation de crypto-monnaies à forte intensité énergétique.
La nouvelle exposition de réalité virtuelle au musée a rendu l'art plus interactif et attrayant.,La dépendance excessive à l'égard de la technologie dans la galerie a diminué l'expérience artistique authentique.
Je me sens plus préparé pour l'avenir après avoir assisté au séminaire de planification financière.,Je me sens plus débordé par la retraite après avoir appris le système complexe de retraite.
Le passage de l'entreprise à des emballages durables a considérablement réduit notre empreinte environnementale.,Les initiatives écologiques mal mises en œuvre ont augmenté les coûts sans avantages évidents.
Je suis impressionné par la façon dont l'école a intégré la technologie pour améliorer l'expérience d'apprentissage.,Je m'inquiète de l'utilisation excessive des écrans et des outils numériques dans l'éducation.
Le nouveau marché des agriculteurs a apporté des produits frais et locaux et un sentiment de communauté dans notre région.,Les boutiques d'alimentation trop chères ont rendu les achats d'épicerie plus coûteux et moins accessibles.
Je me sens plus conscient à l'échelle mondiale après avoir participé au programme d'échanges culturels.,Je me sens plus déçu par les relations internationales après l'expérience décevante à l'étranger.
Le système innovant de gestion du trafic a considérablement réduit la congestion dans le centre-ville.,Les changements de routes mal mis en œuvre ont créé le chaos et augmenté les temps de trajet pour les navetteurs.
Je suis excité par le potentiel de l'édition génétique pour prévenir les maladies héréditaires.,J'appréhende les implications éthiques de la modification de l'ADN humain.
Le nouveau programme de recyclage a permis aux résidents de réduire plus facilement leurs déchets.,Le système complexe de tri des déchets a découragé de nombreuses personnes de se recycler correctement.
Je me sens plus confiant dans ma prise de décision après avoir appris les biais cognitifs.,Je me sens plus incertain de mes jugements après avoir étudié les défauts du raisonnement humain.
La politique flexible de l'entreprise en matière d'horaires de travail a grandement amélioré mon équilibre entre le travail et la vie personnelle.,L'attente d'une disponibilité constante a brouillé les lignes entre le travail et le temps personnel.
Je suis impressionné par la façon dont la ville a revitalisé l'ancienne zone industrielle en un quartier artistique prospère.,Je m'inquiète de la gentrification qui pousse les résidents de longue date hors du quartier.
La nouvelle application de suivi de la santé m'a poussé à adopter des habitudes et des routines plus saines.,La surveillance constante de la santé a accru mon anxiété à propos de chaque petit changement physique.
Je me sens plus connecté à mon héritage après avoir étudié la généalogie de ma famille.,Je me sens plus détaché de mes racines après avoir découvert des vérités inconfortables sur mon ascendance.
Les méthodes d'enseignement novatrices ont rendu l'apprentissage des mathématiques beaucoup plus attrayant et compréhensible.,Le programme expérimental a laissé les étudiants confus et à la traîne dans les compétences de base.
Je suis excité par le potentiel de l'impression 3D pour révolutionner la fabrication et réduire les déchets.,Je m'inquiète de l'impact de l'impression 3D sur l'artisanat traditionnel et les marchés du travail.
Le nouveau réseau de transport public a rendu les trajets beaucoup plus efficaces et agréables.,Les changements de transit mal planifiés ont rendu la ville plus frustrante et plus longue.
Je me sens plus autonome après avoir appris mes droits de locataire.,Je me sens plus vulnérable après avoir découvert les failles de la réglementation du logement.
Le programme de mentorat de l'entreprise a considérablement accéléré ma croissance professionnelle.,Le manque d'orientation dans ma carrière m'a laissé un sentiment de stagnation et d'incertitude.
Je suis impressionné par la façon dont la communauté s'est réunie pour soutenir les entreprises locales pendant le ralentissement économique.,Je suis découragé par le manque de solidarité dans notre quartier pendant les temps difficiles.
Le nouvel équipement de gym a rendu mes séances d'entraînement plus efficaces et agréables.,Le centre de fitness surpeuplé a rendu l'exercice plus stressant et moins productif.
Je me sens plus créatif après avoir pris le nouveau passe-temps de l'esquisse urbaine.,Je me sens plus frustré après avoir affronté les défis de l'apprentissage à dessiner.
La transparence de l'entreprise quant à son impact environnemental a accru ma confiance dans leur marque.,Les tentatives de lavage écologique de l'organisation m'ont fait douter de leurs revendications écologiques.
Je suis excité par le potentiel de la réalité augmentée pour améliorer les expériences quotidiennes.,Je m'inquiète de la déconnexion croissante de la réalité au fur et à mesure que les gens s'immergent dans les mondes virtuels.
Le nouveau centre communautaire est devenu un centre dynamique pour les activités sociales et l'apprentissage.,L'espace public sous-utilisé est devenu un exode des ressources locales et une occasion manquée.
Je me sens mieux informé sur les enjeux mondiaux après m'être inscrit au service international d'information.,Je me sens plus débordé et anxieux après une exposition constante à des problèmes mondiaux.
L'approche novatrice de la gestion des déchets a considérablement réduit les décharges dans notre région.,Le programme de recyclage inefficace n'a pas fait grand-chose pour régler notre problème croissant de déchets.
Je suis impressionné par la façon dont l'école a intégré le soutien à la santé mentale dans son programme d'études.,Je m'inquiète du manque de ressources pour le bien-être des étudiants dans notre système éducatif.
Le nouvel espace de travail collaboratif a favorisé la créativité et amélioré la dynamique de l'équipe.,Le bureau ouvert a augmenté les distractions et réduit la productivité.
Je me sens plus confiant dans mes compétences culinaires après avoir suivi le cours culinaire en ligne.,Je me sens plus découragé par mes capacités dans la cuisine après avoir échoué à maîtriser les recettes.
L'initiative de la ville de créer plus d'espaces verts a grandement amélioré la vie urbaine.,La négligence des parcs publics a entraîné une diminution des possibilités de loisirs en plein air.
Je suis excité par le potentiel de la médecine personnalisée pour améliorer les résultats du traitement.,J'appréhende les implications du profilage génétique dans les soins de santé sur la vie privée.
La nouvelle application budgétaire m'a aidé à prendre le contrôle de mes finances et à réduire le stress.,Le logiciel financier compliqué a rendu la gestion de mon argent plus confuse et anxieux.
Je me sens plus connecté à mon patrimoine culturel après avoir assisté au festival traditionnel.,Je me sens plus déconnecté de mes racines après la commercialisation de nos célébrations culturelles.
L'engagement de l'entreprise à l'égard de l'équilibre entre le travail et la vie personnelle a grandement amélioré la satisfaction des employés.,L'attente d'une disponibilité constante de l'organisation a conduit à l'épuisement du personnel.
Je suis impressionné par les solutions innovantes présentées lors de la conférence sur le développement durable.,Je suis découragé par le manque d'idées pratiques lors du symposium environnemental.
Les nouvelles pistes cyclables ont rendu les trajets plus sûrs et plus agréables pour les cyclistes.,Les pistes cyclables mal planifiées ont accru la congestion de la circulation et les dangers pour les piétons.
Je me sens plus conscient et détendu après avoir pratiqué la méditation régulièrement.,Je me sens plus frustrée et impatiente après avoir lutté pour m'éclaircir l'esprit pendant les tentatives de méditation.
L'investissement de l'entreprise dans la formation des employés a considérablement augmenté la productivité et le moral.,L'absence de possibilités de perfectionnement professionnel a conduit à la stagnation et à l'insatisfaction en matière d'emploi.
Je suis excité par le potentiel des énergies renouvelables pour créer un avenir plus durable.,Je m'inquiète de la perturbation économique causée par le déplacement des sources d'énergie traditionnelles.
Le nouveau jardin communautaire a transformé un terrain vide en un bel espace productif.,L'espace public négligé est devenu une source de plaintes pour le voisinage.
Je me sens plus confiant dans ma capacité à gérer les urgences après avoir suivi le cours de premiers soins.,Je m'inquiète davantage des accidents potentiels après avoir appris toutes les choses qui peuvent mal tourner.
L'interface utilisateur remaniée a rendu le logiciel beaucoup plus intuitif et efficace à utiliser.,Les changements inutiles apportés à la disposition du programme ont rendu la navigation plus confuse et plus longue.
Je suis impressionné par la façon dont l'hôtel a mis en place des pratiques respectueuses de l'environnement sans compromettre le confort.,Je suis déçu par les tentatives superficielles de la station pour la durabilité qui gênent les clients.
Le nouveau programme d'échange linguistique a grandement amélioré ma maîtrise et ma compréhension culturelle.,Le cours de langue mal structuré m'a laissé plus confus au sujet de la langue et de la culture étrangères.
Je me sens plus autonome après avoir appris les lois sur la protection des consommateurs et mes droits.,Je me sens plus vulnérable après avoir découvert les lacunes des mesures de protection des consommateurs.
Le passage de l'entreprise à un emballage durable a considérablement réduit notre impact environnemental.,Le passage rapide à des matériaux respectueux de l'environnement a entraîné des dommages aux produits et des plaintes des clients.
Je suis excité par le potentiel de l'intelligence artificielle pour résoudre des problèmes mondiaux complexes.,Je m'inquiète des implications éthiques de l'utilisation de l'IA pour la prise de décisions critiques.
Le nouveau marché des agriculteurs a apporté des produits frais et locaux et un sentiment de communauté dans notre région.,La tendance à la hausse des prix des produits artisanaux a rendu les achats d'épicerie moins abordables et accessibles.
Je me sens plus conscient à l'échelle mondiale après avoir participé au programme d'échange international.,Je me sens plus déçu par la compréhension interculturelle après l'expérience décevante à l'étranger.
Le système innovant de gestion du trafic a considérablement réduit la congestion dans le centre-ville.,Le nouvel aménagement des routes a créé le chaos et accru les temps de trajet pour les navetteurs.
Je suis impressionné par la façon dont le musée a rendu l'art plus interactif et plus engageant grâce à la technologie.,Je suis déçu par la façon dont l'accent mis par la galerie sur les affichages numériques a diminué les œuvres originales.
Le nouvel espace de coworking a favorisé la créativité et de précieuses possibilités de réseautage.,Le bureau impersonnel partagé a conduit à un manque de culture de l'entreprise et de loyauté des employés.
Je me sens plus préparé pour l'avenir après avoir participé à l'atelier de planification financière.,Je m'inquiète davantage de la retraite après avoir appris la complexité de l'investissement à long terme.
L'initiative de la ville de restaurer des bâtiments historiques a magnifiquement préservé notre patrimoine culturel.,L'accent mis sur les anciennes structures a détourné les ressources des besoins pressants en matière de développement urbain moderne.
Je suis excité par le potentiel de l'agriculture verticale pour résoudre les problèmes de sécurité alimentaire urbaine.,Je suis sceptique à propos de la forte consommation d'énergie et de la variété limitée des cultures de l'agriculture intérieure.
Le nouveau programme de formation en réalité virtuelle a considérablement amélioré les compétences et la sécurité des employés.,La dépendance excessive à l'égard des simulations a laissé les travailleurs sous-préparés aux défis du monde réel.
Je me sens plus connecté à la nature après avoir participé au projet de conservation de la faune.,Je me sens plus pessimiste à l'égard de l'environnement après avoir été témoin de l'étendue de la destruction de l'habitat.
La communication transparente de l'entreprise pendant la fusion a maintenu la confiance et le moral des employés.,L'absence d'informations claires au cours de la restructuration a entraîné une incertitude et un stress généralisés.
Je suis impressionné par la façon dont l'école a intégré les matières STEM dans des projets créatifs et engageants.,Je m'inquiète de l'emphase exagérée sur la technologie au détriment de l'éducation artistique et des sciences humaines.
Le nouveau service de télémédecine a rendu les soins de santé plus accessibles et plus pratiques.,Le passage à des visites médicales virtuelles a rendu les soins médicaux impersonnels et moins complets.
Je me sens plus confiant dans mes compétences en matière d'expression publique après avoir pris l'atelier de communication.,Je me sens plus conscient de présenter après la rétroaction critique de l'entraînement à la parole.
L'usine innovante de déchets à énergie a transformé notre problème de déchets en une source d'énergie durable.,Les émissions de la nouvelle installation d'incinération ont soulevé des préoccupations au sujet de la qualité de l'air dans notre région.
Je suis excité par le potentiel de la blockchain pour accroître la transparence dans les chaînes d'approvisionnement.,Je m'inquiète de la consommation d'énergie et de l'impact environnemental de la technologie blockchain.
L'accent mis par l'entreprise sur le bien-être des employés a créé un environnement de travail plus positif et plus productif.,Les initiatives obligatoires en matière de santé ont été intrusives et ont accru la pression sur nos horaires déjà occupés.
Je me sens plus autonome après avoir appris les options d'investissement durable et de financement éthique.,"Je me sens plus cynique à propos du système financier après avoir découvert la prévalence du lavage écologique dans les fonds ""éthiques""."
Le nouveau mobilier de bureau ergonomique a considérablement amélioré mon confort et ma productivité au travail.,La mise en place inconfortable du nouveau bureau m'a causé des tensions physiques et a diminué mon efficacité au travail.
Je suis impressionné par la façon dont le gouvernement local a engagé les citoyens dans le processus d'urbanisme.,Je suis frustré par le manque d'apport de la communauté dans les décisions récentes de développement de la ville.
Le programme novateur de recyclage a rendu facile et gratifiant de réduire les déchets ménagers.,Les règles complexes de tri des déchets ont découragé beaucoup d'entre eux de participer aux efforts de recyclage.
Je me sens plus confiant dans mes décisions financières après avoir suivi le cours de finances personnelles.,Je m'inquiète davantage de la gestion de l'argent après avoir réalisé à quel point je ne connaissais pas les finances.
Le nouveau parc a transformé notre quartier en un espace de rassemblement communautaire dynamique.,L'espace vert mal entretenu est devenu un souci de sécurité dans notre localité.
Je suis excité par le potentiel de la viande cultivée en laboratoire pour réduire l'impact environnemental de la production alimentaire.,Je suis sceptique sur la valeur nutritive et les effets à long terme des produits alimentaires créés artificiellement.
Le programme de mentorat de l'entreprise a accéléré ma croissance professionnelle et mes perspectives de carrière.,Le manque d'orientation et de soutien au travail m'a laissé stagner dans ma carrière.
La nouvelle bibliothèque numérique a rendu incroyablement pratique d'accéder à un large éventail de livres et de ressources.,Le passage aux livres électroniques a rendu la lecture moins agréable et plus proche du temps d'écran.
Je me sens plus connecté à ma communauté après avoir fait du bénévolat à la banque alimentaire locale.,Je me sens plus déçue des problèmes sociaux après avoir vu l'ampleur de l'insécurité alimentaire dans notre région.
La technologie novatrice de conservation de l'eau a considérablement réduit la consommation de nos ménages.,Les restrictions strictes en matière d'utilisation de l'eau ont rendu les tâches quotidiennes plus difficiles et plus longues.
Je suis impressionné par la façon dont l'école a intégré des pratiques de pleine conscience pour soutenir le bien-être des élèves.,Je m'inquiète de l'accent mis par l'école sur les programmes de bien-être à la mode au détriment de la rigueur scolaire.
Le nouveau système de vélo-partage a rendu facile et abordable de se déplacer dans la ville.,Les vélos de location mal gérés ont encombré les trottoirs et créé des risques pour les piétons.
Je me sens plus autonome après avoir appris mes droits à la vie privée des données et les mesures de sécurité en ligne.,Je me sens plus vulnérable après avoir découvert combien de mes renseignements personnels sont accessibles en ligne.
Les modalités de travail flexibles de l'entreprise ont grandement amélioré mon équilibre entre le travail et la vie personnelle.,L'attente d'une disponibilité constante dans le travail à distance a brouillé les lignes entre mon travail et ma vie personnelle.
Je suis excité par le potentiel de la réalité virtuelle pour révolutionner l'éducation et la formation.,Je m'inquiète du potentiel de la technologie VR pour isoler davantage les gens des interactions du monde réel.
Le nouveau centre communautaire offre un large éventail d'activités qui s'adressent à tous les groupes d'âge.,Les installations publiques sous-utilisées sont devenues un exode des ressources locales et ne répondent pas aux besoins de la collectivité.
Je me sens plus conscient de l'environnement après avoir participé au défi zéro déchet.,Je me sens débordé par la difficulté de maintenir un mode de vie totalement exempt de gaspillage.
Le projet novateur d'agriculture urbaine a apporté des produits frais et des espaces verts à notre ville.,L'initiative agricole mal planifiée a entraîné des problèmes de bruit et de parasites dans les zones résidentielles.
Je suis impressionné par la façon dont l'entreprise a priorisé l'approvisionnement éthique et les pratiques commerciales équitables.,Je suis déçu par les tentatives superficielles de l'organisation pour la responsabilité sociale des entreprises.
La nouvelle police d'assurance-maladie offre une couverture complète à un taux abordable.,Le régime d'assurance complexe a des coûts cachés et exclut les services médicaux essentiels.
Je me sens plus confiant dans mes compétences en résolution de problèmes après avoir terminé le cours de logique et de pensée critique.,Je me sens plus douteux sur mes capacités d'analyse après avoir eu du mal avec les exercices de raisonnement complexes.
L'investissement de la ville dans l'art public a transformé des espaces ternes en environnements dynamiques et inspirants.,Les installations artistiques controversées ont suscité des divisions et des plaintes parmi les résidents locaux.
La nouvelle application de recette a rendu la planification des repas et la cuisine beaucoup plus agréable et sans stress.,Le logiciel de cuisine trop compliqué a rendu la préparation des repas plus longue et frustrante.
Je suis excité par le potentiel de la thérapie génique pour traiter des maladies incurables.,Je crains les implications éthiques et les effets à long terme inconnus de la manipulation génétique.
L'engagement de l'entreprise en faveur de la diversité et de l'inclusion a créé un milieu de travail plus dynamique et novateur.,Les initiatives mal mises en œuvre en matière de diversité ont suscité des tensions et des ressentiments parmi les employés.
